Year Drafted,Player,Rk,Player Link
2002,Mladen Sekularac,55,/players/s/sekulml01.html
2002,Luis Scola,56,/players/s/scolalu01.html
2002,Randy Holcomb,57,/players/h/holcora01.html
2002,Corsley Edwards,58,/players/e/edwarco01.html
2003,LeBron James,1,/players/j/jamesle01.html
2003,Darko Miličić,2,/players/m/milicda01.html
2003,Carmelo Anthony,3,/players/a/anthoca01.html
2003,Chris Bosh,4,/players/b/boshch01.html
2003,Dwyane Wade,5,/players/w/wadedw01.html
2003,Chris Kaman,6,/players/k/kamanch01.html
2003,Kirk Hinrich,7,/players/h/hinriki01.html
2003,T.J. Ford,8,/players/f/fordtj01.html
2003,Mike Sweetney,9,/players/s/sweetmi01.html
2003,Jarvis Hayes,10,/players/h/hayesja01.html
2003,Mickaël Piétrus,11,/players/p/pietrmi01.html
2003,Nick Collison,12,/players/c/collini01.html
2003,Marcus Banks,13,/players/b/banksma01.html
2003,Luke Ridnour,14,/players/r/ridnolu01.html
2003,Reece Gaines,15,/players/g/gainere01.html
2003,Troy Bell,16,/players/b/belltr01.html
2003,Žarko Čabarkapa,17,/players/c/cabarza01.html
2003,David West,18,/players/w/westda01.html
2003,Sasha Pavlović,19,/players/p/pavloal01.html
2003,Dahntay Jones,20,/players/j/jonesda02.html
2003,Boris Diaw,21,/players/d/diawbo01.html
2003,Zoran Planinić,22,/players/p/planizo01.html
2003,Travis Outlaw,23,/players/o/outlatr01.html
2003,Brian Cook,24,/players/c/cookbr01.html
2003,Carlos Delfino,25,/players/d/delfica01.html
2003,Ndudi Ebi,26,/players/e/ebind01.html
2003,Kendrick Perkins,27,/players/p/perkike01.html
2003,Leandro Barbosa,28,/players/b/barbole01.html
2003,Josh Howard,29,/players/h/howarjo01.html
2003,Maciej Lampe,30,/players/l/lampema01.html
2003,Jason Kapono,31,/players/k/kaponja01.html
2003,Luke Walton,32,/players/w/waltolu01.html
2003,Jerome Beasley,33,/players/b/beaslje01.html
2003,Sofoklis Schortsanitis,34,/players/s/schorso01.html
2003,Szymon Szewczyk,35,/players/s/szewcsz01.html
2003,Mario Austin,36,/players/a/austima01.html
2003,Travis Hansen,37,/players/h/hansetr01.html
2003,Steve Blake,38,/players/b/blakest01.html
2003,Slavko Vraneš,39,/players/v/vranesl01.html
2003,Derrick Zimmerman,40,/players/z/zimmede01.html
2003,Willie Green,41,/players/g/greenwi01.html
2003,Zaza Pachulia,42,/players/p/pachuza01.html
2003,Keith Bogans,43,/players/b/boganke01.html
2003,Malick Badiane,44,/players/b/badiama01.html
2003,Matt Bonner,45,/players/b/bonnema01.html
2003,Sani Bečirovič,46,/players/b/becirsa01.html
2003,Mo Williams,47,/players/w/willima01.html
2003,James Lang,48,/players/l/langja01.html
2003,James Jones,49,/players/j/jonesja02.html
2003,Paccelis Morlende,50,/players/m/morlepa01.html
2003,Kyle Korver,51,/players/k/korveky01.html
2003,Remon van de Hare,52,/players/v/vandera01.html
2003,Tommy Smith,53,/players/s/smithto03.html
2003,Nedžad Sinanović,54,/players/s/sinanne01.html
2003,Rick Rickert,55,/players/r/rickeri01.html
2003,Brandon Hunter,56,/players/h/huntebr01.html
2003,Xue Yuyang,57,/players/y/yuyanxu01.html
2003,Andreas Glyniadakis,58,/players/g/glynian01.html
2004,Dwight Howard,1,/players/h/howardw01.html
2004,Emeka Okafor,2,/players/o/okafoem01.html
2004,Ben Gordon,3,/players/g/gordobe01.html
2004,Shaun Livingston,4,/players/l/livinsh01.html
2004,Devin Harris,5,/players/h/harride01.html
2004,Josh Childress,6,/players/c/childjo01.html
2004,Luol Deng,7,/players/d/denglu01.html
2004,Rafael Araújo,8,/players/a/araujra01.html
2004,Andre Iguodala,9,/players/i/iguodan01.html
2004,Luke Jackson,10,/players/j/jackslu02.html
2004,Andris Biedriņš,11,/players/b/biedran01.html
2004,Robert Swift,12,/players/s/swiftro01.html
2004,Sebastian Telfair,13,/players/t/telfase01.html
2004,Kris Humphries,14,/players/h/humphkr01.html
2004,Al Jefferson,15,/players/j/jeffeal01.html
2004,Kirk Snyder,16,/players/s/snydeki01.html
2004,Josh Smith,17,/players/s/smithjo03.html
2004,J.R. Smith,18,/players/s/smithjr01.html
2004,Dorell Wright,19,/players/w/wrighdo01.html
2004,Jameer Nelson,20,/players/n/nelsoja01.html
2004,Pavel Podkolzin,21,/players/p/podkopa01.html
2004,Viktor Khryapa,22,/players/k/khryavi01.html
2004,Sergei Monia,23,/players/m/moniase01.html
2004,Delonte West,24,/players/w/westde01.html
2004,Tony Allen,25,/players/a/allento01.html
2004,Kevin Martin,26,/players/m/martike02.html
2004,Sasha Vujačić,27,/players/v/vujacsa01.html
2004,Beno Udrih,28,/players/u/udrihbe01.html
2004,David Harrison,29,/players/h/harrida01.html
2004,Anderson Varejão,31,/players/v/varejan01.html
2004,Jackson Vroman,32,/players/v/vromaja01.html
2004,Peter John Ramos,33,/players/r/ramospe01.html
2004,Lionel Chalmers,34,/players/c/chalmli01.html
2004,Donta Smith,35,/players/s/smithdo04.html
2004,Andre Emmett,36,/players/e/emmetan01.html
2004,Antonio Burks,37,/players/b/burksan01.html
2004,Royal Ivey,38,/players/i/iveyro01.html
2004,Chris Duhon,39,/players/d/duhonch01.html
2004,Albert Miralles,40,/players/m/miralal01.html
2004,Justin Reed,41,/players/r/reedju01.html
2004,David Young,42,/players/y/youngda02.html
2004,Viktor Sanikidze,43,/players/s/sanikvi01.html
2004,Trevor Ariza,44,/players/a/arizatr01.html
2004,Tim Pickett,45,/players/p/picketi02.html
2004,Bernard Robinson,46,/players/r/robinbe01.html
2004,Ha Seung-Jin,47,/players/s/seungha01.html
2004,Pape Sow,48,/players/s/sowpa01.html
2004,Ricky Minard,49,/players/m/minarri01.html
2004,Sergei Lishouk,50,/players/l/lishcse01.html
2004,Vassilis Spanoulis,51,/players/s/spanova01.html
2004,Christian Drejer,52,/players/d/drejech01.html
2004,Romain Sato,53,/players/s/satoro01.html
2004,Matt Freije,54,/players/f/freijma01.html
2004,Rickey Paulding,55,/players/p/pauldri01.html
2004,Luis Flores,56,/players/f/florelu01.html
2004,Marcus Douthit,57,/players/d/douthma01.html
2004,Sergei Karaulov,58,/players/k/karause01.html
2004,Blake Stepp,59,/players/s/steppbl01.html
2004,Rashad Wright,60,/players/w/wrighra01.html
2005,Andrew Bogut,1,/players/b/bogutan01.html
2005,Marvin Williams,2,/players/w/willima02.html
2005,Deron Williams,3,/players/w/willide01.html
2005,Chris Paul,4,/players/p/paulch01.html
2005,Raymond Felton,5,/players/f/feltora01.html
2005,Martell Webster,6,/players/w/webstma02.html
2005,Charlie Villanueva,7,/players/v/villach01.html
2005,Channing Frye,8,/players/f/fryech01.html
2005,Ike Diogu,9,/players/d/dioguik01.html
2005,Andrew Bynum,10,/players/b/bynuman01.html
2005,Fran Vázquez,11,/players/v/vazqufr01.html
2005,Yaroslav Korolev,12,/players/k/korolya01.html
2005,Sean May,13,/players/m/mayse01.html
2005,Rashad McCants,14,/players/m/mccanra01.html
2005,Antoine Wright,15,/players/w/wrighan01.html
2005,Joey Graham,16,/players/g/grahajo01.html
2005,Danny Granger,17,/players/g/grangda01.html
2005,Gerald Green,18,/players/g/greenge01.html
2005,Hakim Warrick,19,/players/w/warriha01.html
2005,Julius Hodge,20,/players/h/hodgeju01.html
2005,Nate Robinson,21,/players/r/robinna01.html
2005,Jarrett Jack,22,/players/j/jackja01.html
2005,Francisco García,23,/players/g/garcifr01.html
2005,Luther Head,24,/players/h/headlu01.html
2005,Johan Petro,25,/players/p/petrojo01.html
2005,Jason Maxiell,26,/players/m/maxieja01.html
2005,Linas Kleiza,27,/players/k/kleizli01.html
2005,Ian Mahinmi,28,/players/m/mahinia01.html
2005,Wayne Simien,29,/players/s/simiewa01.html
2005,David Lee,30,/players/l/leeda02.html
2005,Salim Stoudamire,31,/players/s/stoudsa01.html
2005,Daniel Ewing,32,/players/e/ewingda01.html
2005,Brandon Bass,33,/players/b/bassbr01.html
2005,C.J. Miles,34,/players/m/milescj01.html
2005,Ricky Sánchez,35,/players/s/sanchri01.html
2005,Ersan İlyasova,36,/players/i/ilyaser01.html
2005,Ronny Turiaf,37,/players/t/turiaro01.html
2005,Travis Diener,38,/players/d/dienetr01.html
2005,Von Wafer,39,/players/w/wafervo01.html
2005,Monta Ellis,40,/players/e/ellismo01.html
2005,Roko Ukić,41,/players/u/ukicro01.html
2005,Chris Taft,42,/players/t/taftch01.html
2005,Mile Ilić,43,/players/i/ilicmi01.html
2005,Martynas Andriuškevičius,44,/players/a/andrima01.html
2005,Lou Williams,45,/players/w/willilo02.html
2005,Erazem Lorbek,46,/players/l/lorbeer01.html
2005,Bracey Wright,47,/players/w/wrighbr02.html
2005,Mickaël Gelabale,48,/players/g/gelabmi01.html
2005,Andray Blatche,49,/players/b/blatcan01.html
2005,Ryan Gomes,50,/players/g/gomesry01.html
2005,Robert Whaley,51,/players/w/whalero01.html
2005,Axel Hervelle,52,/players/h/herveax01.html
2005,Orien Greene,53,/players/g/greenor01.html
2005,Dijon Thompson,54,/players/t/thompdi01.html
2005,Lawrence Roberts,55,/players/r/roberla01.html
2005,Amir Johnson,56,/players/j/johnsam01.html
2005,Marcin Gortat,57,/players/g/gortama01.html
2005,Uroš Slokar,58,/players/s/slokaur01.html
2005,Cenk Akyol,59,/players/a/akyolce01.html
2005,Alex Acker,60,/players/a/ackeral01.html
2006,Andrea Bargnani,1,/players/b/bargnan01.html
2006,LaMarcus Aldridge,2,/players/a/aldrila01.html
2006,Adam Morrison,3,/players/m/morriad01.html
2006,Tyrus Thomas,4,/players/t/thomaty01.html
2006,Shelden Williams,5,/players/w/willish02.html
2006,Brandon Roy,6,/players/r/roybr01.html
2006,Randy Foye,7,/players/f/foyera01.html
2006,Rudy Gay,8,/players/g/gayru01.html
2006,Patrick O'Bryant,9,/players/o/obryapa01.html
2006,Mouhamed Sene,10,/players/s/senesa01.html
2006,J.J. Redick,11,/players/r/redicjj01.html
2006,Hilton Armstrong,12,/players/a/armsthi01.html
2006,Thabo Sefolosha,13,/players/s/sefolth01.html
2006,Ronnie Brewer,14,/players/b/brewero02.html
2006,Cedric Simmons,15,/players/s/simmoce01.html
2006,Rodney Carney,16,/players/c/carnero01.html
2006,Shawne Williams,17,/players/w/willish03.html
2006,Oleksiy Pecherov,18,/players/p/pecheol01.html
2006,Quincy Douby,19,/players/d/doubyqu01.html
2006,Renaldo Balkman,20,/players/b/balkmre01.html
2006,Rajon Rondo,21,/players/r/rondora01.html
2006,Marcus Williams,22,/players/w/willima03.html
2006,Josh Boone,23,/players/b/boonejo01.html
2006,Kyle Lowry,24,/players/l/lowryky01.html
2006,Shannon Brown,25,/players/b/brownsh01.html
2006,Jordan Farmar,26,/players/f/farmajo01.html
2006,Sergio Rodríguez,27,/players/r/rodrise01.html
2006,Maurice Ager,28,/players/a/agerma01.html
2006,Mardy Collins,29,/players/c/collima01.html
2006,Joel Freeland,30,/players/f/freeljo01.html
2006,James White,31,/players/w/whiteja02.html
2006,Steve Novak,32,/players/n/novakst01.html
2006,Solomon Jones,33,/players/j/jonesso01.html
2006,Paul Davis,34,/players/d/davispa01.html
2006,P.J. Tucker,35,/players/t/tuckepj01.html
2006,Craig Smith,36,/players/s/smithcr01.html
2006,Bobby Jones,37,/players/j/jonesbo02.html
2006,Kosta Perović,38,/players/p/perovko01.html
2006,David Noel,39,/players/n/noelda01.html
2006,Denham Brown,40,/players/b/brownde05.html
2006,James Augustine,41,/players/a/augusja01.html
2006,Daniel Gibson,42,/players/g/gibsoda01.html
2006,Marcus Vinicius,43,/players/v/vincima01.html
2006,Lior Eliyahu,44,/players/e/eliyali01.html
2006,Alexander Johnson,45,/players/j/johnsal01.html
2006,Dee Brown,46,/players/b/brownde03.html
2006,Paul Millsap,47,/players/m/millspa01.html
2006,Vladimir Veremeenko,48,/players/v/veremvl01.html
